,1_reaction,1_r1_smiles,1_r2_smiles,1_r_previous_product,1_product_smiles,2_reaction,2_r1_smiles,2_r2_smiles,2_r_previous_product,2_product_smiles,3_reaction,3_r1_smiles,3_r2_smiles,3_r_previous_product,3_product_smiles,4_reaction,4_r1_smiles,4_r2_smiles,4_r_previous_product,4_product_smiles,base_compound_smiles,name,frag_small,num_steps,compound_set,hits
11,Amidation,Cc1ccc(O)cc1N,N#CCC(=O)O,,Cc1ccc(O)cc1NC(=O)CC#N,Williamson_ether_synthesis,Cc1ccc(O)cc1NC(=O)CC#N,O=C(CCl)N1CCOCC1,1,Cc1ccc(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,,,,,,,,,,,Cc1ccc(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,ZEEZCEGNYUPWRG-UHFFFAOYSA-N,"['Ax0310a', 'Ax0739a']",2,x0310-x0739-merge-2-5,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
12,Amidation,Nc1cc(O)c(C)cc1,N#CCC(=O)O,,Cc1ccc(NC(=O)CC#N)cc1O,Williamson_ether_synthesis,Cc1ccc(NC(=O)CC#N)cc1O,O=C(CCl)N1CCOCC1,1,Cc1ccc(NC(=O)CC#N)cc1OCC(=O)N1CCOCC1,,,,,,,,,,,Cc1ccc(NC(=O)CC#N)cc1OCC(=O)N1CCOCC1,KYUARQFQJUCNFW-UHFFFAOYSA-N,"['Ax0310a', 'Ax0739a']",2,x0310-x0739-merge-2-8,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
13,Amidation,Nc1cc(O)c(C)cc1C,N#CCC(=O)O,,Cc1cc(C)c(NC(=O)CC#N)cc1O,Williamson_ether_synthesis,Cc1cc(C)c(NC(=O)CC#N)cc1O,O=C(CCl)N1CCOCC1,1,Cc1cc(C)c(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,,,,,,,,,,,Cc1cc(C)c(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,AKCZIULVMOLGHC-UHFFFAOYSA-N,"['Ax0310a', 'Ax0739a']",2,x0310-x0739-merge-2-9,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
14,Amidation,Nc1cncc(O)c1,N#CCC(=O)O,,N#CCC(=O)Nc1cncc(O)c1,Williamson_ether_synthesis,N#CCC(=O)Nc1cncc(O)c1,O=C(CCl)N1CCOCC1,1,N#CCC(=O)Nc1cncc(OCC(=O)N2CCOCC2)c1,,,,,,,,,,,N#CCC(=O)Nc1cncc(OCC(=O)N2CCOCC2)c1,XNQQWKFGJZTTEX-UHFFFAOYSA-N,"['Ax0310a', 'Ax0739a']",2,x0310-x0739-merge-2-10,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
15,Amidation,Nc1ccnc(O)c1,N#CCC(=O)O,,N#CCC(=O)Nc1ccnc(O)c1,Williamson_ether_synthesis,N#CCC(=O)Nc1ccnc(O)c1,O=C(CCl)N1CCOCC1,1,N#CCC(=O)Nc1ccnc(OCC(=O)N2CCOCC2)c1,,,,,,,,,,,N#CCC(=O)Nc1ccnc(OCC(=O)N2CCOCC2)c1,CVBLKWHDGHXHMC-UHFFFAOYSA-N,"['Ax0310a', 'Ax0739a']",2,x0310-x0739-merge-2-11,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
16,Williamson_ether_synthesis,Cc1cccc(O)c1OCc1ccccc1,O=C1C(Cl)CCN1C,,Cc1cccc(OC2CCN(C)C2=O)c1OCc1ccccc1,Benzyl_alcohol_deprotection,Cc1cccc(OC2CCN(C)C2=O)c1OCc1ccccc1,,1,Cc1cccc(OC2CCN(C)C2=O)c1O,Williamson_ether_synthesis,Cc1cccc(OC2CCN(C)C2=O)c1O,O=C(CCl)N1CCOCC1,1.0,Cc1cccc(OC2CCN(C)C2=O)c1OCC(=O)N1CCOCC1,,,,,,Cc1cccc(OC2CCN(C)C2=O)c1OCC(=O)N1CCOCC1,UASUHFYDLOTSPQ-UHFFFAOYSA-N,"['Ax0528a', 'Ax0739a']",3,x0528-x0739-merge-1-2,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
17,Williamson_ether_synthesis,Cc1cc(O)c(OCc2ccccc2)c(C)c1,O=C1C(Cl)CCN1C,,Cc1cc(C)c(OCc2ccccc2)c(OC2CCN(C)C2=O)c1,Benzyl_alcohol_deprotection,Cc1cc(C)c(OCc2ccccc2)c(OC2CCN(C)C2=O)c1,,1,Cc1cc(C)c(O)c(OC2CCN(C)C2=O)c1,Williamson_ether_synthesis,Cc1cc(C)c(O)c(OC2CCN(C)C2=O)c1,O=C(CCl)N1CCOCC1,1.0,Cc1cc(C)c(OCC(=O)N2CCOCC2)c(OC2CCN(C)C2=O)c1,,,,,,Cc1cc(C)c(OCC(=O)N2CCOCC2)c(OC2CCN(C)C2=O)c1,WKZRUHMHRSTISJ-UHFFFAOYSA-N,"['Ax0528a', 'Ax0739a']",3,x0528-x0739-merge-1-3,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
18,Amidation,Brc1c(N)cccc1NC(=O)OC(C)(C)C,CC(=O)O,,CC(=O)Nc1cccc(NC(=O)OC(C)(C)C)c1Br,N-Boc_deprotection,CC(=O)Nc1cccc(NC(=O)OC(C)(C)C)c1Br,,1,CC(=O)Nc1cccc(N)c1Br,Amidation,CC(=O)Nc1cccc(N)c1Br,CC(=O)O,1.0,CC(=O)Nc1cccc(NC(C)=O)c1Br,Sp3-sp2_Suzuki_coupling,CC(=O)Nc1cccc(NC(C)=O)c1Br,CC1(C)OB(CNS(C)(=O)=O)OC1(C)C,1.0,CC(=O)Nc1cccc(NC(C)=O)c1CNS(C)(=O)=O,CC(=O)Nc1cccc(NC(C)=O)c1CNS(C)(=O)=O,GNGHXHDPKASYTF-UHFFFAOYSA-N,"['Ax0719a', 'Ax0884a']",4,x0884-x0719-merge-1-1,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0719_A_301_A71EV2A-x0501+A+152+1
19,Amidation,Fc1ccc(O)c(Br)c1N,CC(=O)O,,CC(=O)Nc1c(F)ccc(O)c1Br,Williamson_ether_synthesis,CC(=O)Nc1c(F)ccc(O)c1Br,CN(C)C(=O)CCl,1,CC(=O)Nc1c(F)ccc(OCC(=O)N(C)C)c1Br,Sp3-sp2_Suzuki_coupling,CC(=O)Nc1c(F)ccc(OCC(=O)N(C)C)c1Br,CC1(C)OB(CNS(C)(=O)=O)OC1(C)C,1.0,CC(=O)Nc1c(CNS(C)(=O)=O)ccc(OCC(=O)N(C)C)c1Br,,,,,,CC(=O)Nc1c(CNS(C)(=O)=O)ccc(OCC(=O)N(C)C)c1Br,STIQFIHEOJHUKS-UHFFFAOYSA-N,"['Ax0719a', 'Ax0884a', 'Ax0922a']",3,x0884-x0719-x0922-merge-2-1,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0719_A_301_A71EV2A-x0501+A+152+1 A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1
20,Amidation,CC(C)(C)OC(=O)Nc1c(C)cccc1N,CC(=O)O,,CC(=O)Nc1cccc(C)c1NC(=O)OC(C)(C)C,N-Boc_deprotection,CC(=O)Nc1cccc(C)c1NC(=O)OC(C)(C)C,,1,CC(=O)Nc1cccc(C)c1N,Amidation,CC(=O)Nc1cccc(C)c1N,O=C(O)CO,1.0,CC(=O)Nc1cccc(C)c1NC(=O)CO,,,,,,CC(=O)Nc1cccc(C)c1NC(=O)CO,HTQKETIGMLSVKZ-UHFFFAOYSA-N,"['Ax0732a', 'Ax0884a']",3,x0884-x0732-merge-2-1,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
